,Emotions,Statement,Path
67,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-02-01-02-02-02.wav
68,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-02-02-01-01-02.wav
69,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-02-02-01-02-02.wav
70,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-02-02-02-01-02.wav
71,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-02-02-02-02-02.wav
72,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-03-01-01-01-02.wav
73,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-03-01-01-02-02.wav
74,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-03-01-02-01-02.wav
75,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-03-01-02-02-02.wav
76,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-03-02-01-01-02.wav
77,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-03-02-01-02-02.wav
78,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-03-02-02-01-02.wav
79,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-03-02-02-02-02.wav
80,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-04-01-01-01-02.wav
81,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-04-01-01-02-02.wav
82,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-04-01-02-01-02.wav
83,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-04-01-02-02-02.wav
84,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-04-02-01-01-02.wav
85,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-04-02-01-02-02.wav
86,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-04-02-02-01-02.wav
87,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-04-02-02-02-02.wav
88,angry,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-05-01-01-01-02.wav
89,angry,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-05-01-01-02-02.wav
90,angry,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-05-01-02-01-02.wav
91,angry,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-05-01-02-02-02.wav
92,angry,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-05-02-01-01-02.wav
93,angry,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-05-02-01-02-02.wav
94,angry,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-05-02-02-01-02.wav
95,angry,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-05-02-02-02-02.wav
96,fear,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-06-01-01-01-02.wav
97,fear,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-06-01-01-02-02.wav
98,fear,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-06-01-02-01-02.wav
99,fear,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-06-01-02-02-02.wav
100,fear,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-06-02-01-01-02.wav
101,fear,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-06-02-01-02-02.wav
102,fear,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-06-02-02-01-02.wav
103,fear,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-06-02-02-02-02.wav
104,disgust,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-07-01-01-01-02.wav
105,disgust,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-07-01-01-02-02.wav
106,disgust,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-07-01-02-01-02.wav
107,disgust,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-07-01-02-02-02.wav
108,disgust,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-07-02-01-01-02.wav
109,disgust,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-07-02-01-02-02.wav
110,disgust,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-07-02-02-01-02.wav
111,disgust,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-07-02-02-02-02.wav
112,surprise,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-08-01-01-01-02.wav
113,surprise,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-08-01-01-02-02.wav
114,surprise,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-08-01-02-01-02.wav
115,surprise,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-08-01-02-02-02.wav
116,surprise,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-08-02-01-01-02.wav
117,surprise,1,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-08-02-01-02-02.wav
118,surprise,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-08-02-02-01-02.wav
119,surprise,2,C:\Users\luisg\speech-emotion\dataset\Actor_02/03-01-08-02-02-02-02.wav
120,neutral,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-01-01-01-01-03.wav
121,neutral,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-01-01-01-02-03.wav
122,neutral,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-01-01-02-01-03.wav
123,neutral,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-01-01-02-02-03.wav
124,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-02-01-01-01-03.wav
125,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-02-01-01-02-03.wav
126,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-02-01-02-01-03.wav
127,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-02-01-02-02-03.wav
128,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-02-02-01-01-03.wav
129,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-02-02-01-02-03.wav
130,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-02-02-02-01-03.wav
131,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-02-02-02-02-03.wav
132,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-03-01-01-01-03.wav
133,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-03-01-01-02-03.wav
134,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-03-01-02-01-03.wav
135,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-03-01-02-02-03.wav
136,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-03-02-01-01-03.wav
137,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-03-02-01-02-03.wav
138,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-03-02-02-01-03.wav
139,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-03-02-02-02-03.wav
140,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-04-01-01-01-03.wav
141,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-04-01-01-02-03.wav
142,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-04-01-02-01-03.wav
143,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-04-01-02-02-03.wav
144,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-04-02-01-01-03.wav
145,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-04-02-01-02-03.wav
146,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-04-02-02-01-03.wav
147,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-04-02-02-02-03.wav
148,angry,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-05-01-01-01-03.wav
149,angry,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-05-01-01-02-03.wav
150,angry,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-05-01-02-01-03.wav
151,angry,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-05-01-02-02-03.wav
152,angry,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-05-02-01-01-03.wav
153,angry,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-05-02-01-02-03.wav
154,angry,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-05-02-02-01-03.wav
155,angry,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-05-02-02-02-03.wav
156,fear,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-06-01-01-01-03.wav
157,fear,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-06-01-01-02-03.wav
158,fear,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-06-01-02-01-03.wav
159,fear,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-06-01-02-02-03.wav
160,fear,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-06-02-01-01-03.wav
161,fear,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-06-02-01-02-03.wav
162,fear,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-06-02-02-01-03.wav
163,fear,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-06-02-02-02-03.wav
164,disgust,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-07-01-01-01-03.wav
165,disgust,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-07-01-01-02-03.wav
166,disgust,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-07-01-02-01-03.wav
167,disgust,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-07-01-02-02-03.wav
168,disgust,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-07-02-01-01-03.wav
169,disgust,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-07-02-01-02-03.wav
170,disgust,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-07-02-02-01-03.wav
171,disgust,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-07-02-02-02-03.wav
172,surprise,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-08-01-01-01-03.wav
173,surprise,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-08-01-01-02-03.wav
174,surprise,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-08-01-02-01-03.wav
175,surprise,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-08-01-02-02-03.wav
176,surprise,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-08-02-01-01-03.wav
177,surprise,1,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-08-02-01-02-03.wav
178,surprise,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-08-02-02-01-03.wav
179,surprise,2,C:\Users\luisg\speech-emotion\dataset\Actor_03/03-01-08-02-02-02-03.wav
180,neutral,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-01-01-01-01-04.wav
181,neutral,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-01-01-01-02-04.wav
182,neutral,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-01-01-02-01-04.wav
183,neutral,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-01-01-02-02-04.wav
184,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-02-01-01-01-04.wav
185,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-02-01-01-02-04.wav
186,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-02-01-02-01-04.wav
187,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-02-01-02-02-04.wav
188,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-02-02-01-01-04.wav
189,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-02-02-01-02-04.wav
190,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-02-02-02-01-04.wav
191,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-02-02-02-02-04.wav
192,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-03-01-01-01-04.wav
193,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-03-01-01-02-04.wav
194,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-03-01-02-01-04.wav
195,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-03-01-02-02-04.wav
196,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-03-02-01-01-04.wav
197,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-03-02-01-02-04.wav
198,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-03-02-02-01-04.wav
199,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-03-02-02-02-04.wav
200,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-04-01-01-01-04.wav
201,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-04-01-01-02-04.wav
202,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-04-01-02-01-04.wav
203,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-04-01-02-02-04.wav
204,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-04-02-01-01-04.wav
205,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-04-02-01-02-04.wav
206,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-04-02-02-01-04.wav
207,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-04-02-02-02-04.wav
208,angry,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-05-01-01-01-04.wav
209,angry,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-05-01-01-02-04.wav
210,angry,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-05-01-02-01-04.wav
211,angry,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-05-01-02-02-04.wav
212,angry,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-05-02-01-01-04.wav
213,angry,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-05-02-01-02-04.wav
214,angry,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-05-02-02-01-04.wav
215,angry,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-05-02-02-02-04.wav
216,fear,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-06-01-01-01-04.wav
217,fear,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-06-01-01-02-04.wav
218,fear,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-06-01-02-01-04.wav
219,fear,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-06-01-02-02-04.wav
220,fear,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-06-02-01-01-04.wav
221,fear,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-06-02-01-02-04.wav
222,fear,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-06-02-02-01-04.wav
223,fear,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-06-02-02-02-04.wav
224,disgust,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-07-01-01-01-04.wav
225,disgust,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-07-01-01-02-04.wav
226,disgust,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-07-01-02-01-04.wav
227,disgust,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-07-01-02-02-04.wav
228,disgust,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-07-02-01-01-04.wav
229,disgust,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-07-02-01-02-04.wav
230,disgust,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-07-02-02-01-04.wav
231,disgust,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-07-02-02-02-04.wav
232,surprise,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-08-01-01-01-04.wav
233,surprise,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-08-01-01-02-04.wav
234,surprise,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-08-01-02-01-04.wav
235,surprise,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-08-01-02-02-04.wav
236,surprise,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-08-02-01-01-04.wav
237,surprise,1,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-08-02-01-02-04.wav
238,surprise,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-08-02-02-01-04.wav
239,surprise,2,C:\Users\luisg\speech-emotion\dataset\Actor_04/03-01-08-02-02-02-04.wav
240,neutral,1,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-01-01-01-01-05.wav
241,neutral,1,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-01-01-01-02-05.wav
242,neutral,2,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-01-01-02-01-05.wav
243,neutral,2,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-01-01-02-02-05.wav
244,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-02-01-01-01-05.wav
245,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-02-01-01-02-05.wav
246,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-02-01-02-01-05.wav
247,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-02-01-02-02-05.wav
248,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-02-02-01-01-05.wav
249,calm,1,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-02-02-01-02-05.wav
250,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-02-02-02-01-05.wav
251,calm,2,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-02-02-02-02-05.wav
252,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-03-01-01-01-05.wav
253,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-03-01-01-02-05.wav
254,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-03-01-02-01-05.wav
255,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-03-01-02-02-05.wav
256,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-03-02-01-01-05.wav
257,happy,1,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-03-02-01-02-05.wav
258,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-03-02-02-01-05.wav
259,happy,2,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-03-02-02-02-05.wav
260,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-04-01-01-01-05.wav
261,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-04-01-01-02-05.wav
262,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-04-01-02-01-05.wav
263,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-04-01-02-02-05.wav
264,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-04-02-01-01-05.wav
265,sad,1,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-04-02-01-02-05.wav
266,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-04-02-02-01-05.wav
267,sad,2,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-04-02-02-02-05.wav
268,angry,1,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-05-01-01-01-05.wav
269,angry,1,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-05-01-01-02-05.wav
270,angry,2,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-05-01-02-01-05.wav
271,angry,2,C:\Users\luisg\speech-emotion\dataset\Actor_05/03-01-05-01-02-02-05.wav
